CustomerID,Gender,Age,Income,SpendingScore,Segment,SegmentDescription
1,Male,46,38,7,3,Premium Mature Customers: Thu nhập cao, chi tiêu cao, độ tuổi 45+.
2,Male,50,36,29,3,Premium Mature Customers: Thu nhập cao, chi tiêu cao, độ tuổi 45+.
3,Female,22,18,16,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
4,Female,67,22,12,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
5,Female,25,15,24,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
6,Male,18,16,40,2,Balanced Middle-Class: Thu nhập và chi tiêu trung bình, độ tuổi đa dạng.
7,Male,41,68,30,2,Balanced Middle-Class: Thu nhập và chi tiêu trung bình, độ tuổi đa dạng.
8,Female,27,36,50,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
9,Male,29,30,45,3,Premium Mature Customers: Thu nhập cao, chi tiêu cao, độ tuổi 45+.
10,Female,68,50,14,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
11,Female,59,40,24,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
12,Female,46,40,36,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
13,Female,65,38,23,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
14,Male,38,66,44,3,Premium Mature Customers: Thu nhập cao, chi tiêu cao, độ tuổi 45+.
15,Female,46,83,59,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
16,Male,24,19,33,2,Balanced Middle-Class: Thu nhập và chi tiêu trung bình, độ tuổi đa dạng.
17,Female,18,11,29,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
18,Female,49,59,46,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
19,Male,54,35,18,3,Premium Mature Customers: Thu nhập cao, chi tiêu cao, độ tuổi 45+.
20,Male,62,42,21,2,Balanced Middle-Class: Thu nhập và chi tiêu trung bình, độ tuổi đa dạng.
21,Female,52,93,40,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
22,Female,29,27,48,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
23,Male,65,26,1,2,Balanced Middle-Class: Thu nhập và chi tiêu trung bình, độ tuổi đa dạng.
24,Female,22,16,27,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
25,Male,28,35,22,2,Balanced Middle-Class: Thu nhập và chi tiêu trung bình, độ tuổi đa dạng.
26,Female,59,26,34,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
27,Male,25,15,29,2,Balanced Middle-Class: Thu nhập và chi tiêu trung bình, độ tuổi đa dạng.
28,Male,42,44,49,3,Premium Mature Customers: Thu nhập cao, chi tiêu cao, độ tuổi 45+.
29,Male,34,29,5,2,Balanced Middle-Class: Thu nhập và chi tiêu trung bình, độ tuổi đa dạng.
30,Female,58,47,9,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
31,Female,25,38,47,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
32,Female,64,44,10,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
33,Female,30,17,11,1,Conservative High-Income: Thu nhập cao, chi tiêu thận trọng, độ tuổi 40+.
